Name,Country,University,Year,Source,LinkedIn_Profile
Ethan Yong-Ern Tan,Australia,,2018,IMO,https://uk.linkedin.com/in/ethan-tan-907235205
Euan Ong,United Kingdom,,2020,IOI,https://uk.linkedin.com/in/euanong
Euan Tebbutt,United Kingdom,,2017,IOI,https://uk.linkedin.com/in/euan-tebbutt
Evan Bailey,United States,The University of Texas at Dallas,2023,ICPC,https://www.linkedin.com/in/e-m-bailey
Evan Dorundo,United States,University of Central Florida,2016,ICPC,
Evan Limanto,United States,University of California at Berkeley,2017,ICPC,https://www.linkedin.com/in/evanlimanto
Evan Lin,Australia,,2023,IOI,
Evan Lu,Canada,,2022,IMO,
Farbod Yadegarian,Canada,,2016,IOI,
Forrest Li,United States,University of North Carolina at Chapel Hill,2016,ICPC,
Fox Thomson,United Kingdom,,2018,IOI,
Franklyn Wang,United States,Harvard University,2020,ICPC,
Fredrik Ekholm,United Kingdom,University of Cambridge,2024,ICPC,
Fredy Yip,Australia,,2020,IMO,
Gabriel Wu,United States,Harvard University,2024,ICPC,
Gaoyuan Chen,United States,University of Southern California,2015,ICPC,
Gediminas Lelesius,United Kingdom,University of Cambridge,2022,ICPC,
Geoffry Song,Canada,University of Waterloo,2015,ICPC,
George Chen,Canada,,2020,IOI,
George Chichirim,United Kingdom,University of Oxford,2018,ICPC,
George Han,New Zealand,,2015,IMO,
George Mears,United Kingdom,,2019,IMO,
George Zhou,United Kingdom,,2022,IMO,
Golrokh Emami,United States,Stanford University,2020,ICPC,
Gopal Goel,United States,,2020,IMO,
Grace Chang,New Zealand,,2019,IMO,
Grace Yuan,Australia,,2022,IMO,
Grady Kenix,New Zealand,,2022,IMO,
Grayden Price,Canada,University of Alberta,2021,ICPC,
Gregory Zhang,Canada,University of British Columbia,2018,ICPC,
Guanhan Li,New Zealand,,2024,IOI,
Guowen Zhang,Australia,,2018,IMO,
Hadi Yami,United States,University of Maryland,2017,ICPC,
Hadyn Ka Ming Tang,Australia,,2021,IMO,
Hadyn Tang,Australia,The Australian National University,2024,ICPC,
Haibing Wang,Australia,,2021,IMO,
Hamish Baguley,New Zealand,,2021,IMO,
Hanjun Dai,United States,Georgia Institute of Technology,2015,ICPC,
Hanks Chong,United Kingdom,,2023,IMO,
Hao Chen,United States,University of California Los Angeles,2015,ICPC,
Haolin Zhao,United Kingdom,,2024,IMO,
Haomin Long,United States,Columbia University,2018,ICPC,
Haoran Xu,United States,Massachusetts Institute of Technology,2017,ICPC,
Haotian Wang,New Zealand,,2024,IMO,
Haozhe Yang,Canada,,2023,IMO,
Harris Leung,United Kingdom,University of Oxford,2024,ICPC,
Harrison Weigel,United States,University of Chicago,2015,ICPC,
Harun Gunaydin,United States,Drexel University,2019,ICPC,
Harvey Yau,United Kingdom,,2018,IMO,
He (James) Xu,New Zealand,,2022,IMO,
Henry Xia,Canada,University of British Columbia,2020,ICPC,
Hidenori Shinohara,United States,University of Minnesota - Twin Cities,2016,ICPC,
Ho Ching Justin Cheng,United States,University of Southern California,2016,ICPC,
Hoang Giap Vu,Australia,University of Melbourne,2023,ICPC,
Howard Halim,Canada,,2018,IMO,
Howard Loewe Halim,Canada,,2019,IMO,
Hristo Venev,United Kingdom,University of Oxford,2017,ICPC,
Huaye Jeff Lin,United States,,2023,IMO,
Hubert Teo,United States,Stanford University,2018,ICPC,
Hung li Chen,Canada,University of British Columbia,2016,ICPC,
Huy Truong Nam Nguyen,United States,Harvard University,2018,ICPC,
Ian DeHaan,Canada,University of Alberta,2022,ICPC,
Ian Gottshall,United States,Iowa State University,2017,ICPC,
Igor Durovic,United States,University of Utah,2020,ICPC,
Ildar Gainullin,Canada,University of Waterloo,2021,ICPC,
Ilia Kucherov,Australia,,2016,IMO,
Ingkarat Rak-amnouykit,United States,University of Wisconsin - Madison,2017,ICPC,
Innokentiy Kaurov,United States,Columbia University,2024,ICPC,
Ioana-Maria Tamas,United States,Cornell University,2017,ICPC,
Iris Xu,Australia,,2024,IMO,
Isaac King,United Kingdom,,2024,IMO,
Isaiah Iliffe,Australia,,2020,IOI,
Ishan Nath,New Zealand,,2020,IMO,
Ishraq Huda,Australia,,2015,IOI,
Ivan Solovyev,New Zealand,,2020,IOI,
Jackson Abascal,United States,University of Rochester,2017,ICPC,
Jacob Coxon,United Kingdom,,2017,IMO,
Jacob Jackson,Canada,University of Waterloo,2015,ICPC,
Jacob Magnuson,United States,University of Central Florida,2022,ICPC,
Jacob Perin,United States,Iowa State University,2017,ICPC,
Jacob Smith,Australia,,2018,IOI,
Jacob Smith,United States,Iowa State University,2016,ICPC,
Jacob Steinebronn,United States,University of Central Florida,2023,ICPC,
Jacob Teo,United States,Massachusetts Institute of Technology,2023,ICPC,
Jacob Zhang,United States,University of California Los Angeles,2021,ICPC,
Jake Silverman,United States,Cornell University,2016,ICPC,
James Bang,Australia,,2019,IMO,
James King,Australia,,2021,IOI,
James Lin,United States,,2018,IMO,
James Tan,United Kingdom,,2021,IOI,
James Yang,Canada,,2022,IMO,
Jason Cannon,Canada,University of Alberta,2021,ICPC,
Jason Chi,Australia,,2021,IMO,
Jason Chiu,Canada,University of British Columbia,2017,ICPC,
Jason Li,United States,Carnegie Mellon University,2015,ICPC,
Jason Liu,United States,University of California Los Angeles,2023,ICPC,
Jason Yuen,Canada,University of Waterloo,2017,ICPC,
Jason Zou,United States,University of Maryland,2018,ICPC,
Jay Leeds,United States,Swarthmore College,2024,ICPC,
Jay Zhao,New Zealand,,2024,IMO,
Jeck Lim,United Kingdom,University of Cambridge,2019,ICPC,
Jeffrey Chang,United States,Georgia Institute of Technology,2023,ICPC,
Jeffrey Kwan,United States,,2020,IMO,
Jeffrey Xiao,Canada,,2016,IOI,
Jenni Voon,United Kingdom,,2021,IMO,
Jeremy Archer,United States,University of Chicago,2015,ICPC,https://www.linkedin.com/in/jeremy-archer-72393b210
Jeremy Yip,Australia,,2015,IMO,https://www.linkedin.com/in/jeremy-yip-ph-d-8b809221
Jerry Li,United States,University of California Irvine,2017,ICPC,https://www.linkedin.com/in/jiaruijerry1992/zh-cn?trk=people-guest_people_search-card
Jerry Mao,Australia,,2018,IOI,https://www.linkedin.com/in/jerry-mao
Jerry Mao,United States,Massachusetts Institute of Technology,2021,ICPC,https://www.linkedin.com/in/jerry-mao
Jerry Zirui Li,Australia,,2023,IOI,https://ca.linkedin.com/in/the-jerry-li
Jesse Zhang,New Zealand,,2024,IOI,https://www.linkedin.com/in/thejessezhang
Jessica Wan,United States,,2024,IMO,https://www.linkedin.com/in/jessica-wan-371759326
Jiacheng Liu,United States,University of Illinois at Urbana-Champaign,2019,ICPC,https://www.linkedin.com/in/liujch1998
